Gene_ID,length,BA21_DS_F,BA22_WS_F,BA23_DS_M,BA24_WS_M,BA25_DS_F,BA26_WS_F,BA27_DS_M,BA28_WS_M,BA29_DS_F,BA30_WS_F,BA31_DS_M,BA32_WS_M
comp36024_c0,394,61,50,65,48,64,60,71,50,33,53,69,36
comp360243_c0,339,0,0,3,2,0,0,0,0,0,0,0,2
comp36025_c0,426,2,6,7,19,9,9,5,10.97,7,5,6,7
comp36027_c0,994,25,23,9,17,8,6,8,16,13,1,20,7
comp36028_c0,1117,6,11,10,10,3,2,10,6,2,5,4,5
comp36029_c0,339,3,0,6,3,11,2,2,0,9,0,7,0
comp36030_c0,378.92,30.01,29,45.76,29.96,30.06,43,30.1,52.27,27,40.02,35.95,29.87
comp360307_c0,354,1,0,2,1,0,0,3,0,0,0,1,0
comp36031_c0,1499,262,240,219.93,243.14,224.01,280.57,225.01,297.02,255,231.95,232.01,234
comp36033_c0,596,37,27,38,52,50,28,35,70,65,29,51.07,42
comp36034_c0,362,38.03,42,14.03,54,24,44.22,34,37,32,38,30.54,45.01
comp36035_c0,599,5,3,2,5,1,6,3,3,0,5,3,5
comp360356_c0,329,2,1,3,0,1,2,2,0,4,2,2,0
comp36037_c0,436.25,16,4,7,12,11,11,7,10,12,13,15,11
comp36039_c0,923,38,16,35,23,10,22,19,23,13,14,24,24
comp360417_c0,307,0,3,3,0,5,1,0,0,1,3,0,1
comp36043_c0,487,4,23,9,6,10,8,10.07,6,1,16,15,4
comp36045_c0,654.97,71,47,52,47,100,70,75.02,48,77,75,64,54
comp36047_c0,337,7,1,2,2,2,2,4,3,2,1,1,2
comp36047_c1,549,5,2,10,10,4,2,13,10,4,4,9,7
comp36048_c0,878,10,4,8,11,3,4,4,7,8,3,6,7
comp36049_c0,325,3,12.01,5.23,10,5,20,4,12,5,5,7,6
comp36050_c0,305,5,4,2,3,2,4,0,5,14,4,3,3
comp36051_c0,765,37,28,38,53,38,50,19,32,29,51,27,55
comp36054_c0,609,7,5,14,6,4,9,3,11,6.98,7,6,12
comp36055_c0,904,4,5,6,9.86,11,5,3,7,13.02,5,3,4
comp36057_c0,466,4,2,1,1,1,4,3,3,3,2,4,0
comp3606_c0,836,4,4,6,3,4,1,5,3,8,2,5,1
comp36060_c0,1162,12,14,3,9,10,16,3,10,2,4,7,13
comp36061_c0,411.5,16,11,11,11,4,3,7,3,5,9,3,2
comp360612_c0,323,0,1,3,2,0,1,0,0,2,2,0,2
comp36063_c0,483,41.35,61,40.17,43.39,46.91,43.84,67.42,47.02,46.84,54.03,43.61,55
comp36065_c0,983,12,17,7,5,16,9,6,11,6,15,10,17.99
comp36066_c0,599,8,8,16,3,5.88,13.51,9,8,7,8.21,23,17
comp360668_c0,405,0,3,1,3,0,0,0,2,2,0,0,1
comp36067_c0,337,5,3,13,9,7,5,15.99,11.68,7,10,3,1
comp360675_c0,388,1,1,1,4,0,0,1,2,0,2,1,2
comp36068_c0,743,76,73,71,56,76,74,50,72,58,63,82,105
comp360683_c0,334,2,1,0,1,0,0,0,0,0,1,0,0
comp360693_c0,365,1,0,3,2,0,0,0,0,0,0,0,0
comp3607_c0,449,2,1,4,1,3,0,1,1,2,1,0,3
comp36070_c0,419,20,24,28.06,29.67,20,18,22.99,37,18,22,31.15,42
comp36071_c0,449,15,6,2,10,5,5,3,6,2,6,12.16,9.02
comp36072_c0,473,16.04,10,8,19,23,29,15,11.59,11,22.98,10,8
comp36073_c0,606.3,4,2,5,18,3,23,2,8,1,4,11,3
comp36074_c0,867,745.14,569,586.98,601,448.05,548.04,501,575,447,594.11,634,571
comp360744_c0,491,1,1,2,7,0,2,0,1,0,2,0,4
comp36075_c0,763,76,62,72,37,58.15,72,62,70,48,43,79,51
comp36076_c0,468,3,2,3,4,4,3,0,0,1,0,0,0
comp36077_c0,876.21,256,67.04,154,75,130,54,184,98,112,44,87,94
comp360770_c0,455,3,3,1,2,0,2,3,0,0,1,6,0
comp360771_c0,388,6,0,1,0,0,0,0,1,0,0,0,0
comp360777_c0,335,2,3,2,0,0,1,1,0,0,0,1,0
comp36078_c0,597,6,8,9,2,9,2.98,9,3,8,1,5,4
comp36079_c0,403,4,3,5,6,2,0,0,0,2,2,3,2
comp360798_c0,546,6,2,0,1,1,0,0,1,0,2,0,2
comp36080_c0,329,15.98,20,38,11,12,14,24,16,22,24,16,35
comp36082_c1,536,11,2,7.98,9,12,13,10,7,12.19,5,3,1.01
comp360827_c0,324,1,2,0,0,0,0,2,1,0,1,0,0
comp36083_c1,660,47,6,18,11,10,9,3,8,4,3,17,19
comp36084_c0,686,20,5,3,2,6,3,0,5,1,1,4,3
comp36085_c0,1228,36,11,37,21,24,25,19,12,23,11,38,41
comp360854_c0,411,0,2,0,4,4,0,1,0,6,0,0,0
comp36086_c0,478,27,9,6,10,1,0,18,0,22,0,2,3
comp36087_c0,451,4,0,2,1,2,2,0,1,1,3,0,0
comp360870_c0,343,0,3,0,2,0,2,1,1,1,2,4,4
comp360874_c0,469,5,0,0,2,5,2,1,1,3,0,5,3
comp36088_c0,1591,14,17,7,9,4,14,12,16,18,3,10,16
comp36089_c0,1481,123.01,93.99,131,140,116,114,121.05,128.88,124,100.98,126,102.95
comp360899_c0,331,2,1,0,2,0,2,2,0,1,0,1,0
comp36090_c0,593,6,0,3,4,5,3,0,0,6,0,2,2
comp36091_c0,720,3,11,8,9,8,8,5,5,14,7,8,8
comp360927_c0,603,6,1,1,2,2,2,0,1,0,2,3,5
comp36093_c0,563,9,7,11,12,16,16,3,5,3.04,4,6,8
comp36094_c0,872,5,15,17,7,13,5,23,5,3,1,15,6
comp36096_c0,751.26,22,10,2,2,10,0,8,7,6,3,3.55,0
comp36097_c0,391.66,4,11.98,7,4,11.04,7,5,3,3,0,5.05,5
comp36098_c0,1147,15,10,4,5,23,7,4,18.99,9,10,15,10
comp36099_c0,1400,358,287,311,330,286,320.25,306,332,283,298,325,338
comp361_c0,406,4,3,0,2,2,4,1,0,2,4,5,1
comp3610_c0,1403,17,5,11,12,5,7,2,11,3,5,16,14
comp36100_c0,462,13,14,15,11,13.4,16,15,23,17,15,8,8.98
comp36101_c0,384,4.02,7,8,1,4,2,4,5,3,12,1,1
comp36102_c0,549,4,6,4,3,6,6,1,1,1,1,2.64,3
comp361021_c0,393,1,2,1.16,2,2,2,0,3,4,0,1,0
comp36103_c0,307,4,8,4,6,3,5,0,2,2,0,1,7
comp36104_c0,506.08,7,7,15,4,19,5,8,1,9,5.13,9.84,5
comp361048_c0,318,1,1,2,2,1,2,0,2,3,0,1,0
comp36105_c0,1459,40,11,19,22,14,15,9,16,8,15,17,26
comp361053_c0,360,0,0,0,1,2,0,0,0,0,0,0,1
comp36107_c0,301,3,0,1,2,0,0,1,0,0,1,2,1
comp36108_c0,471,37,27,39.03,33,34,29,18,28,23,23,37,39.02
comp36109_c0,956,5,9,20,12,15,15.01,4,11,14.55,9.76,19,17
comp3611_c0,307,3,1,2,0,1,0,1,2,0,1,0,3
comp361100_c0,410,2,2,5,0,7,2,0,3,2,1,2,7
comp361105_c0,468,0,2,3,1,2,0,0,2,2,0,3,1
comp36112_c0,426,12,3,0,8,2,9,3,5,2,8,10,4
comp36113_c0,331,20,10,14,41,16,8.19,21,13,9,31,22.02,14
comp36114_c0,1183.93,637.01,487.99,669,373,450.03,448,333.75,373,312,246.96,732.02,488.73
comp361145_c0,414,0,4,0,3,2,0,0,7,0,0,0,5
comp361146_c0,324,0,3,1,2,0,0,0,0,0,1,0,1
comp36115_c0,665,20,28,53,24,23,21,24,13,33,27,20,20
comp36116_c0,651,36,23,40,16.03,14,39,40,25.45,20,20,30,32
comp361173_c0,302,1,3,2,0,1,0,0,2,1,3,1,1
comp36118_c0,1205,541,324.19,569.98,433,517,364.51,437.67,478,384,368.99,451.99,412
comp361187_c0,513,3,1,3,1,1,0,1,3,0,0,1,0
comp36119_c0,1386.39,47,34,39,35,18,26,22,26,27,17,33,31
comp361195_c0,509,3,4,1,2,0,1,0,2,0,0,1,0
comp36120_c0,342,10,9,11,9,15,13,10,3,9,5,11,11.01
comp36121_c0,394,1.96,1,20,20,21,1,2,17.94,1,1.63,1,3
comp36123_c0,301,1,3,3,3,0,1,0,3,1,2,1,1
comp361232_c0,404,1,2,1,2,2,0,0,1,0,1,1,0
comp361234_c0,439,2,0,1,1,1,2,0,0,2,1,1,0
comp36124_c0,555,3,6,2,2,5,5,2,2,4,10,5,4
comp361247_c0,303,0,2,0,1,0,2,0,2,0,0,1,0
comp36125_c0,438,8.76,3,13,7,17,7,6,2,2,7,1,0
comp361254_c0,488,2,2,6,1,2,0,1,1,1,2,0,0
comp36126_c0,599,7,5,5,13,7,9,7,8,8,12,16,10
comp361264_c0,379,1,3,2,1,1,4,0,0,3,4,6,2
comp36127_c0,1446,57,25,81,9,70,21,24,13,53,18,29,16
comp361277_c0,491,0,1,5,3,2,9,0,1,6,0,0,6
comp36128_c0,585,5,3,3,6,1,2,1,2,3,0,5,6
comp361281_c0,457,1,7,0,0,0,0,3,0,0,1,1,0
comp36129_c0,1227,33,37,20.58,30,14,31,20,15,35,22,12,31
comp36130_c0,448.59,4,1,16,10,7,7,3,0,9,7,4,4
comp361300_c0,422,1,4,1,1,3,4,0,1,4,4,1,0
comp36131_c0,1641,194.87,126,196,194.18,115,226,122,200,140,224.2,180,155
comp361322_c0,524,0,3,3,0,1,1,0,0,1,0,1,0
comp361325_c0,404,0,2,2,4,1,1,1,0,6,0,1,4
comp36134_c1,472,14,37,36,55,23,59.49,46,37,38,25,50,39
comp361349_c0,322,2,4,0,1,1,7,0,0,2,1,2,1
comp36135_c0,351,18,14,13,8,17,18,6,17,13,12,19,7
comp36136_c0,634,37,33,13.91,24,11.98,16.78,22,15.73,6,18,26,17
comp36137_c0,344,17,13,23,19,18,34,17,24,21.88,26,18,19
comp36138_c0,388,8,11,2,2,6,7,1,3,5,0,4,4
comp36139_c0,455,25,17,23,10,7,24,20,20,17,24,17,17
comp3614_c0,619,5,7,6,6,7,5,1,3,3,1,6,4
comp361403_c0,605,2,3,4,3,4,3,1,5,2,0,6,2
comp36142_c0,438,9,8,9,12,12,10,9,11,13,5,4,23
comp36143_c0,350,3,8,1,2,1,4,2,2,1,3,0,5
comp361439_c0,431,3,1,3,0,1,3,1,1,0,1,1,0
comp36145_c0,690.34,22,17,26.99,17,23,13.01,18,14,12,12,9,18.98
comp361453_c0,380,2,1,5,0,0,0,0,0,3,0,0,3
comp361471_c0,310,0,0,0,3,0,0,0,15,0,0,5,0
comp36148_c0,385,6,17,31,19,16,41,29,23,16,21,13,36
comp361490_c0,320,0,5,1,1,1,0,0,0,0,0,0,0
comp36150_c0,734,7,2,15,2,5,4,10,0,1.61,6.99,4,6
comp36151_c0,498,3,7,5,3,1,4,2,4,1,1,0,4
comp36152_c0,505,6,9,14,6,7,5,3,7,10,6,7,6
comp36153_c0,603,8,7,8,5,6,8,5,9,7,7,5,6
comp361533_c0,320,1,2,1,2,2,0,2,0,3,1,2,5
comp36154_c0,617,6,16,10,24,4,14,11,10,10,15,7,20.99
comp36155_c0,324,5,16,4,6,4,5,7,4,5,6,5.16,3
comp36157_c0,886,797.7,719.2,825.85,864.07,736.89,869.62,729.03,826.86,740.86,820.72,755.01,821.95
comp36159_c0,641,35,22,33,16,60,10,5,29,4,5,8,18
comp361598_c0,487,1,1,6,0,0,0,1,2,4,0,2,1
comp36160_c0,380.39,10,9,4,3,15,5,12,4,3,2,12,10
comp36161_c0,1100.29,13,5,19,8,27,15,5,16,11,11,9,11
comp36162_c0,727,3,12,3,6,3,9,1,6,3,5,5,6
comp36163_c0,324,2,2,1,3,1,0,2,1,1,1,0,2
comp361634_c0,388,0,7,0,0,0,0,0,0,1,1,0,0
comp36164_c0,380,0,9,7,19,1,14,9,0,0,0,0,2
comp36165_c0,366,12,6,0,0,12,11,7,4,8,11,27,20.04
comp36166_c0,373,8,4,10,4,2,6,2,3,2,1,6,6
comp361662_c0,312,1,0,0,2,1,0,0,0,1,0,0,0
comp36167_c0,337,10,11,9,9,14,19,15,20,11,6,17,12
comp36169_c0,435,607.44,86,183,44,233,33,109,129,225,42,35,56
comp361692_c0,313,2,1,1,1,0,0,0,0,0,0,1,1
comp361695_c0,380,1,5,0,1,0,0,0,0,0,0,2,1
comp36170_c0,543,6,5,10,12,9,6,5,5,9,9,14,12
comp36171_c0,597,69,48,56,53,80,62,91.45,83.69,82,63,57,61
comp36172_c0,1374,12402.74,7978.24,5366.25,4418.99,8328.13,6008.04,8361.2,6896.4,8580.1,6013.01,4671.05,2988.05
comp361725_c0,335,3,1,3,0,0,4,0,0,6,2,4,2
comp36173_c0,873,3,6,3,7,1,1,4,5,2,1,5,6
comp36174_c0,562,7,10.19,5,8,10,11,2,4,11,0,3,15
comp36175_c0,1156,17,9,9,7,2,5.9,5.73,6,2,5,9.92,8
comp361753_c0,484,0,4,0,4,0,3,0,0,0,0,0,5
comp361758_c0,859,3,6,4,3,3,4.02,2,2,3,3,4,3
comp36176_c0,324,1,2,2,1,6,2,2.86,0,5,7,2,1
comp36177_c0,799,7,9,18,20,14,19,8,3,7,10,23,15
comp361771_c0,315,1,2,2,1,0,0,0,1,0,0,2,1
comp361781_c0,403,4,2,2,1,3,2,0,5,1,0,2,2
comp36179_c0,453,85.67,81.73,127.71,94.07,96.39,124.98,87.36,69.27,78.65,103.79,78.85,87.86
comp36180_c0,969,9,8,9,7,2,7,5,3,10,1,9,7
comp361801_c0,338,0,0,1,1,0,0,3,0,0,0,0,2
comp361802_c0,356,2,0,3,0,0,1,0,0,0,0,0,0
comp36182_c0,826.42,10,4,5,2,6,8,0,0,2,2,4,1
comp361820_c0,400,0,3,2,0,3,0,1,0,2,1,2,0
comp361825_c0,481,4,0,1,2,5,3,3,0,5,0,1,6
comp36183_c0,380.41,2,6,4,1,6,3,3,2,2,2,4,1
comp36184_c0,487,85.03,37,114,50,56.45,75,133,101,86,45.66,76,67
comp36185_c0,397,9,3,8,12,7,8,11,11,14,2,16,10
comp36187_c0,489,7,1,1,1,3,2,1,0,2,0,0,2
comp361875_c0,307,0,0,1,2,0,0,0,0,0,1,1,0
comp36189_c0,350,8,13,5,8,9,6,2.02,2.03,10.99,9,7,10
comp36190_c0,436,10,7,7,7.98,11,15,12,11,9,11,10,12
comp361901_c0,318,1,0,0,0,0,0,2,0,0,0,0,0
comp36191_c0,316,40,24,28,31.59,25.03,14.73,27.59,33.94,15.98,19,36,19.93
comp36193_c0,787,8,16,5,3,10,10,14,4,10,0,8,7.66
comp36194_c0,631,21.01,11.38,19.96,20,9,20,17,8,11,8.58,30,20
comp36195_c0,520,44,12,16.24,14.99,9.93,40,48,16,13.76,15.01,29,17.01
comp36196_c0,484,169.72,66.31,127.81,75,97.86,56.97,74.44,87.09,106.84,41.97,135.47,84.89
comp36197_c0,783,10,3,6,15,18,4,14,8,16,8,17,3
comp361987_c0,491,0,4,3,2,1,1,1,0,3,3,0,0
comp36199_c0,1404,14,21,18,27,15,22,10,41,12,18.12,16,25
comp36200_c0,506,4,1,5,2,4,3,0,0,2,0,1,4
comp362009_c0,305,2,3,0,0,2,0,0,1,3,0,0,0
comp36201_c0,444,34,8,4,1,0,2,3,2,0,2,0,1
comp36202_c0,952,7368.82,5750.26,4859.99,6365,4569.94,6368.71,5226.82,5888.08,4382.88,6038,4740.75,6190
comp36204_c0,2005,1168,358,234,219.26,151,57,291,305,307,162,46,18
comp36206_c0,527.59,37.64,44,64,48.77,41.99,33,54.88,26,38,28,37,25
comp36207_c0,876,5,83,34,45,2,38,49,8,4,25,1,56
comp36208_c0,401.37,10,12,30,8,14,11,4,12,13,2,10,13
comp36209_c0,991,4,7,8,5,4,4,2,7,7,2,4,4
comp36210_c0,356,4,2,3,3,4,5,7,1,2,1,2,2
comp36211_c0,1181,407,286,372.42,344,306,256,322.96,287,307,391.61,345.07,327
comp362114_c0,342,5,0,0,1,3,1,3,0,2,0,0,2
comp36212_c0,360,1,15,8,13,6.96,16,3,20,11,14,4,14
comp362146_c0,404,0,3,0,0,0,1,1,0,0,0,2,0
comp36215_c0,1150.13,42,8,33,11,44,25,17,9,31,12,13,22
comp36216_c0,371,5,8,9,17,18,7,9,7,4,28,18.02,6
comp36217_c0,505,23,86,56,49,101,104,84,82.25,69.19,45.14,71,105
comp362191_c0,362,1,5,1,1,0,0,1,0,0,1,0,2
comp36220_c0,440,2,1,1,0,4,0,1,1,0,0,2,6
comp36222_c0,303,9,17,11,14.13,6,18,4,18,12,12,13,28
comp36223_c0,336,4,0,5,0,3,0,4,2,2,1,1,1
comp36224_c0,693.41,19,20,20.78,22,17,16,23,18,23.31,21,17,16
comp362241_c0,319,1,3,1,0,0,0,0,1,0,0,0,0
comp362247_c0,546,3,3,0,4,1,2,3,2,2,0,0,2
comp36225_c0,740,4,9,21,9,12,15,5,4,23,3,13,9
comp362261_c0,330,0,3,0,0,0,1,2,1,2,0,0,0
comp362265_c0,494,0,7,1,3,0,3,0,1,0,0,0,5
comp36227_c0,502,32,21,22,27,17,17,32,8,12,40,20,14
comp36228_c0,383,3,1,4,0,7,2,4,3,5,4,2,1
comp362291_c0,307,0,1,1,1,1,1,1,0,1,0,0,0
comp3623_c0,1132,18,2,1,7,3,7,4,5,2,6.84,3,5
comp36230_c0,683,31,19,32,23,22,8,17,30,21,16,15,15
comp36231_c0,1289,2,16,30,11,4,3,11,8,15,14,2,10
comp36232_c0,326,0,0,3,0,0,2,1,2,1,0,3,2
comp36233_c0,707.36,76.14,204,184,201.02,78,308,122.99,76,73,326,174,66
comp36236_c0,1609.26,66,81,45,38,30,38,27,16,29,20,39,34
comp362369_c0,415,0,4,0,1,0,0,0,0,0,0,0,1
comp36237_c0,595,7.08,28,22,11,17,14,12,15.75,12,9,21,19
comp36238_c0,710,153,74.28,161.02,136.87,99.2,71.24,70,80.1,81,70,132.01,107.37
comp362383_c0,344,2,0,1,3,1,1,0,2,1,0,0,0
comp36239_c0,712,24,15,34,36,21,47,23,12,21,20,38,13
comp362392_c0,369,2,0,2,0,2,1,2,0,2,2,1,0
comp36240_c0,333,11,0,0,0,1,6,5,3,1,3,0,0
comp36241_c0,388,4,1,2,5,7,5,5.25,0,3,5,1,2
comp36242_c0,1178,35,2,33,1,19,1,28,8,24,3,12,2
comp36244_c0,693,2,0,37,0,34,4,16,14,9,5,4,3
comp36246_c0,347,6.67,10,11,14,15,10,12.06,3,8,9,13,10
comp36247_c0,414,7,11.06,17,16,10,10,15,2,6.4,13,14,8
comp362480_c0,433,0,0,0,8,0,1,1,0,0,0,3,1
comp36249_c0,1087,19,8,14,22,10,9,9,9,4,12,29,12
comp36250_c0,706,0,14,2,13,1,3,5,1,0,6,3,0
comp36252_c0,493,18,16,10,8,12,15,10,7,10,7,13,7
comp36254_c0,795,5,12,7,6,5.06,10.84,5.06,10.09,3,7,12.23,17.99
comp362551_c0,332,0,0,2,4,1,1,0,0,1,1,0,0
comp36256_c0,313,29,21,20,26,25,33,30,33,30,43,31,31
comp36257_c0,932,10,24,5,6,1,4,3,15,19,16.98,6,4
comp36258_c0,449,4,2,2,2,3,0,0,2,1,1,2,2
comp362584_c0,395,0,8,0,0,0,0,0,4,0,0,0,4
comp3626_c0,518,1,1,2,4,1,0,0,0,0,0,0,0
comp36260_c0,415,6,1,2,3,4,0,2,0,3,3,1,6
comp36262_c0,503,56,33,40,30,49,42,20,42,43,40,65,32
comp36263_c0,398,229.16,212.94,218.45,228.17,107.07,165.79,203.4,119.4,181.53,124.9,150.44,167.04
comp36264_c0,1108,21,8,12,15,11,8,13,11,8,10,14,12
comp36266_c0,695.72,96,71.08,64,70.7,73,65.85,36,53,79,65,79,22
comp36267_c0,571,10,6,5,3,5,12,3,7,6,11,7,8
comp36268_c0,376,15,3,10,10,9,19,9,5,23,9,13,4
comp362681_c0,562,3,1,4,3,3,2,2,1,3,2,1,2
comp36269_c0,386,3,5,3,6,11,10,8,4,5,8,4,9
comp3627_c0,416,0,7,5,0,0,6,0,1,3,0,1,0
comp36270_c0,549,6,5,11,6,4,9,8,5,12,5,24,8
comp36271_c0,498,5,3,4,1,5,2,4,3,6,2,2,4
comp36273_c0,363.88,19,5,9,8,6,11,2,8,4.85,7.01,13,29
comp36274_c0,1231,113,100,121,112,77,117,93,129,71,136,114.1,148
comp36275_c0,2141,37,13,36,16,32,15,5,16,11,12,26,12
comp362754_c0,659,1,5,0,4,6,3,4,5,0,5,1,1
comp36276_c0,838,70,60,61,52,60,47,65,72,54,41.02,50,92
comp362779_c0,375,0,4,0,1,1,1,0,0,0,0,1,0
comp362796_c0,428,0,0,3,0,0,0,0,1,0,1,1,1
comp36280_c0,603,6,5,2,8,10,6,5,5,4,3,6,12
comp36283_c0,372.8,2,5,2.92,7,3,2,0,4,2,4,2,9
comp362837_c0,323,5,0,0,0,2,7,1,2,3,0,0,0
comp36284_c0,432.05,71,57,52,50,70.95,54,53,56,63,85,82,76
comp36286_c0,364,40,18,33,29,57,17,40,33,34,31,37,36
comp362868_c0,570,4,2,4,0,4,1,0,0,1,1,3,0
comp36287_c0,379,1,2,1,1,1,2,1,2,1,1,2,6
comp362876_c0,332,4,0,0,0,4,1,0,0,3,1,0,2
comp36288_c0,312,12,6,9,5,3,2,3,1,8,5,11,4
comp36289_c0,1469.11,40,27,34,15,24,10,22,14,14,9,15,5
comp362895_c0,307,0,1,3,1,0,0.22,0,1,0,1,1,0
comp36290_c0,2076,1572,1386.96,1801,1682,1037,1098,1925,1534.97,1047.06,1403.98,1419.94,1149
comp36292_c0,545.59,22,15,21,10,13,13,26,30,14,16,7,18
comp36293_c0,707,5,3,3,3,4,10,1.49,3,1,1,8,0
comp36296_c0,459,1,7,1,0,1,0,0,1,2,0,0,0
comp362966_c0,328,3,2,0,1,0,1,1,0,1,0,1,1
comp36297_c0,1476,2,1,1,52,65,32,70,1,2,1,82,105
comp36299_c0,896,2,1,54,6,11,1,26,2,10,3,19,9
comp362997_c0,431,1,0,1,5,0,1,0,2,1,0,1,1
comp362999_c0,374,0,2,2,3,1,2,1,1,0,1,3,2
comp36300_c0,689,3,3,7,7,0,6,1,3,3,5,6,2
comp36301_c0,413,12,4,9,3,5,1,4,6,12,3,4,5
comp36303_c0,310,4,0,2,1,3,3,2,0,3,1,2,2
comp36304_c0,423,43,22,23,36,16,34,23,27,20,28,34,24
comp36305_c0,306,8,9,5,3,3,7,6,3,2,0,9,4
comp363053_c0,519,4,1,4,0,0,3,0,1,0,0,3,0
comp36306_c0,328,38.3,22,16,12,26.12,28,31.23,18,23.94,31,13,20
comp363070_c0,356,0,5,1,0,3,0,0,1,1,0,3,4
comp36308_c0,869,13,2,5,1,5,5,6,2,8,2,5,4
comp36309_c0,420.2,14,22,9,21,24,15.99,10,27,19,25,13,32
comp3631_c0,848,14,4,7,4,10,6,4,6,4,2,10,13
comp36310_c0,355,3,5,6,17,9,6,5,4.99,7,4,2,8
comp363104_c0,333,0,2,0,1,0,0,0,1,0,0,0,1
comp36311_c0,777,15,4,10,9,4,9,8,9,10,10,10,7
comp36313_c0,861,3,3,7,6.83,4,9,12,11,6.02,5,4,5
comp36315_c0,824,27,16,15,21,18,16,8,15,15,15,19,17
comp36316_c0,442.02,179,211.88,64.21,180,94,196,108.15,170,179.94,125,87.15,192.43
comp36317_c0,357,26,19,23,20,26,20.98,13.02,23,11,27,31,45
comp36318_c0,1352,9,12,7,29,13,5,3,11,12,7,10,12
comp363190_c0,321,1,4,1,0,0,0,1,0,1,0,0,0
comp363195_c0,444,3,0,2,1,1,0,0,2,0,0,0,0
comp363207_c0,323,2,0,1,0,1.47,0,3,3,1,0,0,0
comp363208_c0,693,1,4,4,4,1,5,2,0,0,0,2,0
comp36321_c0,1243.96,92,58,62,64,56,38,70,65,65,60,60.98,50
comp363227_c0,383,2,0,2,2,1,0,0,0,0,1,2,0
comp36323_c0,988,12,14,18,6,5,5,3,7,5,3,17,10
comp36324_c0,303,2,5,5.08,2,10,5,0,0,6,2,14.01,2
comp36325_c0,482,7,6,9,11,4,3,4,2,11,9,4,1
comp363250_c0,415,0,4,0,3,2,3,0,0,1,0,0,1
comp363261_c0,551,6,4,0,3,0,1,3,1,0,2,0,0
comp36327_c0,589.28,10,5,4,6,2,3,7,11,5,9,7,5
comp36328_c0,385,1,2,4,2,1,4,3,2,0,3,4,1
comp36330_c0,329,3,4,6,8,1,4,2,2,1,0,6,7
comp36331_c0,803,8.98,9,3,1,5,3,1,2,5,8,7,4
comp36332_c0,353,23,12,20,9,16,12,13.02,12,12,13,22,11
comp36333_c0,302,1,9,1.03,2.02,11,17,9,1,2,6,7,1
comp363330_c0,498,0,3,5,2,5,0,0,1,1,0,3,1
comp36334_c2,422,48,0,5,24,59,30,24,47.92,17.89,13,15,4
comp36335_c0,1390,4,8,195,9,13,1,72,13,3,51,85,22
comp36336_c0,1024,31,13,13,13,5,9,14,8,7,6,5,4
comp36337_c0,416,75,10,30,20,96.01,15,47.02,23,49,19,30,13
comp36339_c0,365,3,1,6.99,8,2,0,0,5,6,0,1,1
comp36340_c0,528,4,6,5,11,4,7.11,3,3,8,2,5,3
comp36341_c0,667,87.23,81.96,78.9,83.37,90.26,89.7,46.33,83.11,87,87.67,106.15,63.05
comp363416_c0,410,0,5,4,0,0,2,1,0,0,0,2,0
comp36342_c0,431,16,19,14,21,29,40,18,14,22,17,16,27
comp363420_c0,448,4,2,0,0,0,0,0,0,0,0,0,0
comp36343_c0,1921,25,20,14,14.96,62,95.02,25,29.04,14,15,12,31
comp363431_c0,529,0,5,6,1,2,0,1,1,0,1,2,0
comp363439_c0,335,1,1,0,0,0,0,0,1,0,0,0,3
comp36344_c0,1585.77,30,60,38.98,48,19,55,26,118.19,23,59,24,112
comp36345_c0,797,157.03,80,124.99,97.48,115.69,95.42,160.88,134.61,107.59,100.11,131.94,91.36
comp36346_c0,1637.85,55,21,35.03,24,17,26,6,15,10,16,36,28
comp363460_c0,389,1,2,2,1,0,0,0,0,2,0,0,0
comp363464_c0,572,4,0,3,1,2,0,1,2,1,0,1,3
comp36347_c0,542,31.48,20,4,9,17,23,5,9,5,15,16,19
comp36349_c0,353,4,4,1,0,1,0,0,3,4,0,0,2
comp3635_c0,491,3,6,1,2,1,3,1,2,1,1,5,0
comp36350_c0,321,0,2,4,2,0,1,0,4,1,0.8,2,4
comp36351_c0,516.4,57.95,67.11,53,75,94,79,114,79.53,82.59,97,68,75
comp36353_c0,1069,6,0,5,6,2,3,0,0,1,0,5,6
comp36356_c0,904.15,56,21,63,49,40,47,32,37,57,44,35,32
comp36358_c0,320,17.01,17.99,33,16.94,20,24,22,20,28,29,15.98,29
comp363588_c0,316,2,0,2,0,0,0,2,0,0,0,0,0
comp363599_c0,324,2,1,2,2,0,1,1,0,0,0,0,1
comp36360_c0,501.01,14,5,11,6,6,6,1,9,4,3,14,7
comp363602_c0,646,2,5,2,3,5,2,3,3,4,0,4,6
comp36361_c0,1321,251.95,207,272.95,247,173.89,230,221.9,287,146,256,248,252
comp36362_c0,430,9,13,18.01,20,17.31,12.01,15.98,5,13,6,16.66,14.07
comp363625_c0,592,2,2,2,0,0,0,5,5,1,0,0,0
comp363635_c0,425,2,0,2,0,1,0,1,0,1,0,0,0
comp36364_c0,1317,43,26,36,44,28,38,12,37,14,27,43,50
comp363655_c0,407,1,1,2,3,0,0,1,0,1,3,1,0
comp36366_c0,936,40.99,48,37,26,24,37,27,24,11,5.98,22.98,47
comp36367_c0,941,65,40,46,39,111,43,58,42,54,27,70,37
comp363678_c0,322,0,2,0,3,2,2,0,0,0,4,0,0
comp36368_c0,554,1,7,3,9,5,1,2,5,3,8,1,4
comp363681_c0,726,1,0,2,11,0,3,10,12,0,1,6,2
